T0 R128:3606463.950330,IMG_SHARPEN,1,9,9,3606463.985050,3606464.017408,3606464.040636,INSTR,210714271
T0 R136:3606464.259150,IMG_SHARPEN,1,8,8,3606464.259189,3606464.259230,3606464.318543,INSTR,629455446
T0 R138:3606464.363715,IMG_SHARPEN,1,9,9,3606464.363747,3606464.363785,3606464.385819,INSTR,210521490
T0 R143:3606464.555091,IMG_SHARPEN,1,13,13,3606464.555129,3606464.555168,3606464.575980,INSTR,210542745
T0 R145:3606464.641191,IMG_SHARPEN,1,7,7,3606464.641236,3606464.647348,3606464.724924,INSTR,777879821
T0 R146:3606464.653476,IMG_BLUR,1,1,1,3606464.653515,3606464.724934,3606464.739497,INSTR,98824526
T0 R152:3606464.836656,IMG_SHARPEN,1,2,2,3606464.847075,3606464.971492,3606465.032160,INSTR,628982975
T0 R153:3606464.881230,IMG_SHARPEN,1,4,4,3606464.881269,3606465.032167,3606465.054141,INSTR,217702918
T0 R154:3606464.908024,IMG_BLUR,1,10,10,3606464.922049,3606465.054151,3606465.096142,INSTR,294428568
T0 R155:3606464.963347,IMG_SHARPEN,1,7,7,3606464.963392,3606465.096157,3606465.172953,INSTR,777709993
T0 R156:3606464.997956,IMG_BLUR,1,12,12,3606464.997996,3606465.172965,3606465.225126,INSTR,363701878
T0 R157:3606465.059875,IMG_BLUR,1,8,8,3606465.059913,3606465.225134,3606465.269598,INSTR,294428488
T0 R158:3606465.084242,IMG_SHARPEN,1,4,4,3606465.096187,3606465.269611,3606465.295523,INSTR,217672010
T0 R159:3606465.126544,IMG_SHARPEN,1,15,15,3606465.137036,3606465.295537,3606465.336876,INSTR,412184759
T0 R162:3606465.210841,IMG_BLUR,1,4,4,3606465.210876,3606465.415906,3606465.430194,INSTR,102151741
T0 R166:3606465.379521,IMG_SHARPEN,1,2,2,3606465.379557,3606465.449075,3606465.511578,INSTR,628761644
T0 R170:3606465.520082,IMG_SHARPEN,1,3,3,3606465.520150,3606465.643166,3606465.665169,INSTR,210499373
T0 R177:3606466.072531,IMG_BLUR,1,0,0,3606466.072564,3606466.072614,3606466.151472,INSTR,545882444
T0 R178:3606466.082698,IMG_BLUR,1,12,12,3606466.113035,3606466.151491,3606466.202502,INSTR,363701970
